source_row,province_code,province_name,canton_code,canton_name,parish_code,parish_name,parish_classification,is_active
3,01,AZUAY,0101,CUENCA,010150,CUENCA,cabecera_cantonal,True
4,01,AZUAY,0101,CUENCA,010151,BAÑOS,rural,True
5,01,AZUAY,0101,CUENCA,010152,CUMBE,rural,True
6,01,AZUAY,0101,CUENCA,010153,CHAUCHA,rural,True
7,01,AZUAY,0101,CUENCA,010154,CHECA,rural,True
8,01,AZUAY,0101,CUENCA,010155,CHIQUINTAD,rural,True
9,01,AZUAY,0101,CUENCA,010156,LLACAO,rural,True
10,01,AZUAY,0101,CUENCA,010157,MOLLETURO,rural,True
11,01,AZUAY,0101,CUENCA,010158,NULTI,rural,True
12,01,AZUAY,0101,CUENCA,010159,OCTAVIO CORDERO PALACIOS,rural,True
13,01,AZUAY,0101,CUENCA,010160,PACCHA,rural,True
14,01,AZUAY,0101,CUENCA,010161,QUINGEO,rural,True
15,01,AZUAY,0101,CUENCA,010162,RICAURTE,rural,True
16,01,AZUAY,0101,CUENCA,010163,SAN JOAQUÍN,rural,True
17,01,AZUAY,0101,CUENCA,010164,SANTA ANA,rural,True
18,01,AZUAY,0101,CUENCA,010165,SAYAUSÍ,rural,True
19,01,AZUAY,0101,CUENCA,010166,SIDCAY,rural,True
20,01,AZUAY,0101,CUENCA,010167,SININCAY,rural,True
21,01,AZUAY,0101,CUENCA,010168,TARQUI,rural,True
22,01,AZUAY,0101,CUENCA,010169,TURI,rural,True
23,01,AZUAY,0101,CUENCA,010170,VALLE,rural,True
24,01,AZUAY,0101,CUENCA,010171,VICTORIA DEL PORTETE,rural,True
25,01,AZUAY,0102,GIRÓN,010250,GIRÓN,cabecera_cantonal,True
26,01,AZUAY,0102,GIRÓN,010251,LA ASUNCIÓN,rural,True
27,01,AZUAY,0102,GIRÓN,010252,SAN GERARDO,rural,True
28,01,AZUAY,0103,GUALACEO,010350,GUALACEO,cabecera_cantonal,True
29,01,AZUAY,0103,GUALACEO,010352,DANIEL CÓRDOVA TORAL,rural,True
30,01,AZUAY,0103,GUALACEO,010353,JADÁN,rural,True
31,01,AZUAY,0103,GUALACEO,010354,MARIANO MORENO,rural,True
32,01,AZUAY,0103,GUALACEO,010356,REMIGIO CRESPO TORAL,rural,True
33,01,AZUAY,0103,GUALACEO,010357,SAN JUAN,rural,True
34,01,AZUAY,0103,GUALACEO,010358,ZHIDMAD,rural,True
35,01,AZUAY,0103,GUALACEO,010359,LUIS CORDERO VEGA,rural,True
36,01,AZUAY,0103,GUALACEO,010360,SIMÓN BOLÍVAR,rural,True
37,01,AZUAY,0104,NABÓN,010450,NABÓN,cabecera_cantonal,True
38,01,AZUAY,0104,NABÓN,010451,COCHAPATA,rural,True
39,01,AZUAY,0104,NABÓN,010452,EL PROGRESO,rural,True
40,01,AZUAY,0104,NABÓN,010453,LAS NIEVES,rural,True
41,01,AZUAY,0105,PAUTE,010550,PAUTE,cabecera_cantonal,True
42,01,AZUAY,0105,PAUTE,010552,BULÁN,rural,True
43,01,AZUAY,0105,PAUTE,010553,CHICÁN,rural,True
44,01,AZUAY,0105,PAUTE,010554,EL CABO,rural,True
45,01,AZUAY,0105,PAUTE,010556,GUARAINAG,rural,True
46,01,AZUAY,0105,PAUTE,010559,SAN CRISTÓBAL,rural,True
47,01,AZUAY,0105,PAUTE,010561,TOMEBAMBA,rural,True
48,01,AZUAY,0105,PAUTE,010562,DUG DUG,rural,True
49,01,AZUAY,0106,PUCARÁ,010650,PUCARÁ,cabecera_cantonal,True
50,01,AZUAY,0106,PUCARÁ,010652,SAN RAFAEL DE SHARUG,rural,True
51,01,AZUAY,0107,SAN FERNANDO,010750,SAN FERNANDO,cabecera_cantonal,True
52,01,AZUAY,0107,SAN FERNANDO,010751,CHUMBLÍN,rural,True
53,01,AZUAY,0108,SANTA ISABEL,010850,SANTA ISABEL,cabecera_cantonal,True
54,01,AZUAY,0108,SANTA ISABEL,010851,ABDÓN CALDERÓN,rural,True
55,01,AZUAY,0108,SANTA ISABEL,010852,EL CARMEN DE PIJILÍ,rural,True
56,01,AZUAY,0108,SANTA ISABEL,010853,SHAGLLI,rural,True
57,01,AZUAY,0108,SANTA ISABEL,010854,SAN SALVADOR DE CAÑARIBAMBA,rural,True
58,01,AZUAY,0109,SÍGSIG,010950,SÍGSIG,cabecera_cantonal,True
59,01,AZUAY,0109,SÍGSIG,010951,CUCHIL,rural,True
60,01,AZUAY,0109,SÍGSIG,010952,JIMA,rural,True
61,01,AZUAY,0109,SÍGSIG,010953,GÜEL,rural,True
62,01,AZUAY,0109,SÍGSIG,010954,LUDO,rural,True
63,01,AZUAY,0109,SÍGSIG,010955,SAN BARTOLOMÉ,rural,True
64,01,AZUAY,0109,SÍGSIG,010956,SAN JOSÉ DE RARANGA,rural,True
65,01,AZUAY,0110,OÑA,011050,SAN FELIPE DE OÑA,cabecera_cantonal,True
66,01,AZUAY,0110,OÑA,011051,SUSUDEL,rural,True
67,01,AZUAY,0111,CHORDELEG,011150,CHORDELEG,cabecera_cantonal,True
68,01,AZUAY,0111,CHORDELEG,011151,PRINCIPAL,rural,True
69,01,AZUAY,0111,CHORDELEG,011152,LA UNIÓN,rural,True
70,01,AZUAY,0111,CHORDELEG,011153,LUIS GALARZA ORELLANA,rural,True
71,01,AZUAY,0111,CHORDELEG,011154,SAN MARTÍN DE PUZHIO,rural,True
72,01,AZUAY,0112,EL PAN,011250,EL PAN,cabecera_cantonal,True
73,01,AZUAY,0112,EL PAN,011253,SAN VICENTE,rural,True
74,01,AZUAY,0113,SEVILLA DE ORO,011350,SEVILLA DE ORO,cabecera_cantonal,True
75,01,AZUAY,0113,SEVILLA DE ORO,011351,AMALUZA,rural,True
76,01,AZUAY,0113,SEVILLA DE ORO,011352,PALMAS,rural,True
77,01,AZUAY,0114,GUACHAPALA,011450,GUACHAPALA,cabecera_cantonal,True
78,01,AZUAY,0115,CAMILO PONCE ENRÍQUEZ,011550,CAMILO PONCE ENRÍQUEZ,cabecera_cantonal,True
79,02,BOLÍVAR,0201,GUARANDA,020150,GUARANDA,cabecera_cantonal,True
80,02,BOLÍVAR,0201,GUARANDA,020151,FACUNDO VELA,rural,True
81,02,BOLÍVAR,0201,GUARANDA,020153,JULIO E. MORENO,rural,True
82,02,BOLÍVAR,0201,GUARANDA,020155,SALINAS,rural,True
83,02,BOLÍVAR,0201,GUARANDA,020156,SAN LORENZO,rural,True
84,02,BOLÍVAR,0201,GUARANDA,020157,SAN SIMÓN,rural,True
85,02,BOLÍVAR,0201,GUARANDA,020158,SANTA FE,rural,True
86,02,BOLÍVAR,0201,GUARANDA,020159,SIMIÁTUG,rural,True
87,02,BOLÍVAR,0201,GUARANDA,020160,SAN LUIS DE PAMBIL,rural,True
88,02,BOLÍVAR,0202,CHILLANES,020250,CHILLANES,cabecera_cantonal,True
